mibig_accession	organism_name	ncbi_tax_id	smiles	inchikey	no_stereo_inchikey	compound_name	molecular_formula
BGC0000212	Streptomyces sp. SPB074	465543	[H][C@]12C[C@H](O[C@@H]3[C@H](C)O[C@H](C[C@@H]3N(C)C)O[C@H]3C[C@](O)(CC)[C@H](C(=O)OC)C4=CC5=C(C(O)=C34)C(=O)C3=C(O)C=CC(O)=C3C5=O)O[C@@H](C)[C@@]1([H])O[C@]1([H])O[C@@H](C)C(=O)C[C@]1([H])O2	ZBDDFHXUDIPRSM-DQCCILMQSA-N	ZBDDFHXUDIPRSM	cinerubin B	C42H51NO16
BGC0000725	Pseudomonas aeruginosa PAO1	208964	COC1C(C(C(OC1C(=O)[O-])OC2C(C(C(OC2C(=O)[O-])OC)O)O)O)O	GKFPPCXIBHQRQT-UHFFFAOYSA-L	GKFPPCXIBHQRQT	alginate	C14H20O13-2
BGC0000341	Streptomyces fungicidicus	68203	CO[C@H](C(O)[C@@H](O)[C@@H](C)O)[C@@H]1CC2=CC3=CC(OC4CC(OC5CC(O)C(OC)C(C)O5)C(O)C(C)O4)=C(C)C(O)=C3C(O)=C2C(=O)[C@H]1OC1CC(OC2CC(OC3CC(C)(O)C(O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1	VUBXBASJXXRTOP-VPVJJHMISA-N	VUBXBASJXXRTOP	enduracidin	C53H80O24
BGC0000967	uncultured Candidatus Entotheonella sp.	312019	C[C@H]1[C@@H](C[C@@]2(C([C@H]([C@H](O2)[C@H](C[C@@H]([C@H](C)[C@@H]([C@H](C)/C=C(\C)/C(=C/C=C/C(=C\C#N)/C)/C)O)O)OC)OP(=O)(O)O)(C)C)O[C@H]1C/C=C/C3=COC(=N3)[C@@H](C)CCNC(=O)[C@H]([C@H]([C@H](COC)N(C)C)O)O)O	FKAWLXNLHHIHLA-YCBIHMBMSA-N	FKAWLXNLHHIHLA	calyculin A	C50H81N4O15P
BGC0000967	uncultured Candidatus Entotheonella sp.	312019	COC[C@H](N(C)C)[C@H](O)[C@H](O)C(NCC[C@H](C)C1=NC(/C=C/C[C@H]2[C@@H](C)[C@H](O)CC3(C(C)(C)[C@@H](OP(O)(OP(O)(O)=O)=O)[C@@H]([C@@H](OC)C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\[N+]#[C-])O3)O2)=CO1)=O	VURQSRZHWNCHNU-CNTALBEGSA-N	VURQSRZHWNCHNU	phosphocalyculin A	C50H82N4O18P2
BGC0000967	uncultured Candidatus Entotheonella sp.	312019	C[C@H]1[C@@H](C[C@@]2(C([C@H]([C@H](O2)[C@H](C[C@@H]([C@H](C)[C@@H]([C@H](C)/C=C(\C)/C(=C/C=C/C(=C/C(=O)N)/C)/C)O)O)OC)OP(=O)(O)O)(C)C)O[C@H]1C/C=C/C3=COC(=N3)[C@@H](C)CCNC(=O)[C@H]([C@H]([C@H](COC)N(C)C)O)O)O	GTJWBKWRZBNEEQ-NVWSLSKVSA-N	GTJWBKWRZBNEEQ	calyculinamide A	C50H83N4O16P
BGC0000967	uncultured Candidatus Entotheonella sp.	312019	COC[C@H](N(C)C)[C@H](O)[C@H](O)C(NCC[C@H](C)C1=NC(/C=C/C[C@H]2[C@@H](C)[C@H](O)CC3(C(C)(C)[C@@H](O)[C@@H]([C@@H](OC)C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\[N+]#[C-])O3)O2)=CO1)=O	DOHKICUKNIQGNS-CNTALBEGSA-N	DOHKICUKNIQGNS	dephosphonocalyculin A	C50H80N4O12
BGC0001501	Fischerella sp. TAU	1930928	C[C@@]1(CC[C@@]2(O)C3=C1C=CC(C)(C)C1=C3C3=C(N1)C=CC=C3C2(C)C)C=C	YIXMOSKWKGHGSQ-LOSJGSFVSA-N	YIXMOSKWKGHGSQ	ambiguine P	C25H29NO
BGC0000196	Photorhabdus laumondii subsp. laumondii TTO1	243265	Oc3cccc2C(=O)c1cc(O)cc(O)c1C(=O)c23	VVEKCQAFOLKNKB-UHFFFAOYSA-N	VVEKCQAFOLKNKB	AQ-256	C14H8O5
BGC0000196	Photorhabdus laumondii subsp. laumondii TTO1	243265	Oc3cccc2C(=O)c1cc(O)cc(OC)c1C(=O)c23	MKPXKUVNBNOJOI-UHFFFAOYSA-N	MKPXKUVNBNOJOI	AQ-270a	C15H10O5
BGC0000196	Photorhabdus laumondii subsp. laumondii TTO1	243265	Oc3cccc2C(=O)c1cc(cc(OC)c1C(=O)c23)OC	MCHNUYTWURIGNT-UHFFFAOYSA-N	MCHNUYTWURIGNT	AQ-284a	C16H12O5
BGC0001091	Corallococcus coralloides	184914	C/C=C/C/C=C(\C)/C(CC/C(=C/C=C(\C)/C(=C\1/C(=O)C=C(OC1=O)[C@H](C)CC/C=C/NC(=O)OC)/O)/C)O	YSXWOFMOJMYBIO-PAAZHNBESA-N	YSXWOFMOJMYBIO	corallopyronin	C30H41NO7
BGC0001449	Thermothelomyces thermophilus	78579	C[C@H]1C=C[C@H]2CCCC[C@@H]2[C@H]1C(=O)[C@H]3[C@H]4[C@@]5([C@@H](CCN5C3=O)C(=O)O4)O	VUQSZZXQGQSRJA-TWKBTRLKSA-N	VUQSZZXQGQSRJA	ucs1025a	C20H25NO5
BGC0001288	Micromonospora sp. GMKU326	718015	[H][C@@]12C[C@@H](C)CC[C@@]1([H])[C@]1(C)C(=O)C3=C(O)[C@@]4(C[C@@H](C[C@@H](C)O)C(CO)=C[C@@]4(C)C\C=C\[C@@H](C)[C@]1([H])C=C2)OC3=O	IQLRDTYLDFKBLR-KJURRLFSSA-N	IQLRDTYLDFKBLR	maklamicin	C32H44O6
BGC0001443	Actinomadura atramentaria DSM 43919	1120936	[H][C@](C)(CC)[C@]([H])(NC(=O)[C@@H]1CCCNN1C(=O)[C@H](CCCCC)CC(=O)NO)C(=O)CC	IWWYEUSBHSDVOX-CLWJZODNSA-N	IWWYEUSBHSDVOX	matlystatin A	C22H40N4O5
BGC0001708	Aspergillus novofumigatus IBT 16806	1392255	C[C@H]1CCC2[C@@]([C@]13C[C@]4([C@@H]([C@@H]5[C@H]6[C@](OC5=O)(O[C@@]4(O6)O3)C)C)C)(C=CC(=O)OC2(C)C)C=O	NQBMUBGAOCZKBE-SOBNGFRLSA-N	NQBMUBGAOCZKBE	novofumigatonin	C25H32O8
BGC0000583	Streptomyces griseus subsp. griseus NBRC 13350	455632	CC(C(N/C(C(N1C(CCC1)C(NC(C)C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(N/C(C(NC(C(NC(C(NC(C(NC2C(C)C)=O)CC(C)C)=O)CS/C=C\NC2=O)=O)[C@H](C)CC)=O)=C/C)=O)CO)=O)[H])=O)CCC(N)=O)=O)[C@H](C)CC)=O)C(C)C)=O)CC3=CC=CC=C3)=O)CCC(N)=O)=O)C)=O)C(C)C)=O)=O)=O)=C\C)=O)N(C)C	OIQYGWMODDNMOB-PTYYYPKJSA-N	OIQYGWMODDNMOB	grisemycin	C86H137N21O21S
BGC0000290	Streptomyces toyocaensis	55952	N[C@@H]1C2=CC=C(OS(O)(=O)=O)C(OC3=CC(=CC(O)=C3)[C@@H]3NC(=O)[C@@H](CC4=CC(Cl)=C(OC5=C(O)C6=CC(=C5)[C@@H](NC3=O)C(=O)N[C@@H]3C5=CC(Cl)=C(O)C(=C5)C5=C(O)C=C(O)C=C5[C@H](NC(=O)[C@@H](NC3=O)[C@H](O)C3=CC=C(O6)C(Cl)=C3)C(O)=O)C=C4)NC1=O)=C2	HRGFAEUWEMDRRZ-QLRHZSCISA-N	HRGFAEUWEMDRRZ	A-47934	C58H44Cl3N7O21S
BGC0000081	Streptoalloteichus sp. ATCC 53650	756733	CC1C(C(CC(O1)OC\2COC(=O)C(CC3=NC(=C(C=C3)OC4C=C5C#C/C2=C\C#CC6C5(C4OC7CC(C(C(O7)C)O)(C)O)O6)Cl)NC(=O)C8=C(C=C9C=C(C(=C(C9=C8)OC)OC)OC(C)C)O)O)N(C)C	GFTRTMUGNRZABD-IPBVOBEMSA-N	GFTRTMUGNRZABD	kedarcidin	C53H60ClN3O16
BGC0000670	Arabidopsis thaliana	3702	C[C@H](CC/C=C(\C)/CCC=C(C)C)[C@]1(CCC2=C1CC[C@@H]3[C@@]2(CC[C@@H](C3(C)C)O)C)C	DGAGPZOBTQYNRE-VMSIWEJCSA-N	DGAGPZOBTQYNRE	thalianol	C30H50O
BGC0000670	Arabidopsis thaliana	3702	C[C@H](CC(=O)C=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)[C@H](C[C@@H](C5(C)C)O)O)C)C	ZZYMHGCHGDEWKR-LBVFNNMGSA-N	ZZYMHGCHGDEWKR	thaliandiol	C30H48O3
BGC0001250	Epichloe festucae	35717	C/C(=C\C(=O)N(CCC[C@H]1C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCN(C(=O)/C=C(\C)/CCO)O)CCCN(C(=O)/C=C(\C)/CCO)O)CCC(=O)N)O)/CCO	ZYMBDGAKDFBIOX-MQGQGTHPSA-N	ZYMBDGAKDFBIOX	epichloenin A	C46H74N12O18
BGC0001023	Stigmatella aurantiaca	41	C\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C(=O)N(C)[C@H]1[C@@H](C)OC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC1=O	BHYCLFCOZPICKT-CNDSVILGSA-N	BHYCLFCOZPICKT	myxochromide S1	C38H54N6O8
BGC0001651	Tannerella forsythia 92A2	203275	C[C@H]([C@H]([C@H]1[C@@H]([C@H](C[C@](O1)(C(=O)O)O)O)N)N)O	ZFZFJUIKYIVPNP-OWTNSLFHSA-N	ZFZFJUIKYIVPNP	legionaminic acid	C9H18N2O6
BGC0001219	Chaetomium globosum CBS 148.51	306901	CC1=C(C(=O)C(=O)C(=C1O)C)CO	NIZXGIRUXUPPCW-UHFFFAOYSA-N	NIZXGIRUXUPPCW	shanorellin	C9H10O4
BGC0001123	Aspergillus oryzae RIB40	510516	[H][C@@]12SS[C@]3([H])NC(=O)[C@@]1(OC1=C2C=C(Cl)C(O)=C1)N(OC)C3=O	XMFSSFONDVHNFO-HOTUBEGUSA-N	XMFSSFONDVHNFO	aspirochlorine	C12H9ClN2O5S2
BGC0001547	Aspergillus stellatus	1549217	CC1=C[C@H]2[C@](C[C@H]3C4[C@]2(CC[C@@H](C4(C)C)OC(=O)C)C(=O)O3)([C@]5([C@@]1(C(=C(C5=O)C)O)C)C(=O)OC)C	MYLOBISKHDRNEW-USNZOBNTSA-N	MYLOBISKHDRNEW	citreohybridonol	C28H36O8
BGC0000083	Streptomyces amphibiosporus	221586	C[C@@H](\C=C(/C)C1OC(=O)\C=C\CC\C=C\C=C/[C@@H]1C)C(=O)C[C@H](O)CC1CC(=O)NC(=O)C1	OYOKHBHOTQDIPM-UESXVERFSA-N	OYOKHBHOTQDIPM	lactimidomycin	C26H35NO6
BGC0000083	Streptomyces amphibiosporus	221586	C[C@@H](\C=C(/C)[C@@H]1OC(=O)\C=C\CC\C=C\CC[C@@H]1C)C(=O)C[C@H](O)CC1CC(=O)NC(=O)C1	JMMMWKAJHBCSAV-XZBFPPINSA-N	JMMMWKAJHBCSAV	8,9-dihydrolactimidomycin	C26H37NO6
BGC0000083	Streptomyces amphibiosporus	221586	C[C@@H](\C=C(/C)[C@@H]1OC(=O)\C=C\CC\C=C\[C@@H](O)C[C@@H]1C)C(=O)C[C@H](O)CC1CC(=O)NC(=O)C1	JFGZTRUDLAEIRJ-CQBLZTSBSA-N	JFGZTRUDLAEIRJ	8-hydroxy-8,9-dihydrolactidomycin	C26H37NO7
BGC0000083	Streptomyces amphibiosporus	221586	C[C@@H](\C=C(/C)[C@@H]1OC(=O)\C=C\CC\C=C\C[C@@H](O)[C@@H]1C)C(=O)C[C@H](O)CC1CC(=O)NC(=O)C1	IVFXTQLBVDABOI-DVYWRAFASA-N	IVFXTQLBVDABOI	17-hydroxy-8-desmethoxy-isomigrastatin	C26H37NO7
BGC0000316	Saccharothrix mutabilis subsp. capreolus	66854	O=C(N[C@@H](CNC(C[C@H](N)CCCN)=O)C(N/C(C(N[C@@H]([C@H]1CCN=C(N)N1)C(NC[C@H](N)C(N2)=O)=O)=O)=C\NC(N)=O)=O)[C@@H]2CO	JNIIDKODPGHQSS-CGLFUZANSA-N	JNIIDKODPGHQSS	capreomycin IA	C25H44N14O8
BGC0000316	Saccharothrix mutabilis subsp. capreolus	66854	C[C@H]1C(N[C@@H](CNC(C[C@H](N)CCCN)=O)C(N/C(C(N[C@@H]([C@H]2CCN=C(N)N2)C(NC[C@H](N)C(N1)=O)=O)=O)=C\NC(N)=O)=O)=O	FRXNXDHFQYZYNA-XYHSJSFUSA-N	FRXNXDHFQYZYNA	capreomycin IB	C25H44N14O7
BGC0000316	Saccharothrix mutabilis subsp. capreolus	66854	O=C(N[C@@H](CN)C(N/C(C(N[C@@H]([C@H]1CCN=C(N)N1)C(NC[C@H](N)C(N2)=O)=O)=O)=C\NC(N)=O)=O)[C@@H]2CO	XFGCTBYTRMLWCB-MRSVHRRQSA-N	XFGCTBYTRMLWCB	capreomycin IIA	C19H32N12O7
BGC0000316	Saccharothrix mutabilis subsp. capreolus	66854	C[C@H]1C(=O)N[C@H](C(=O)N/C(=C\NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@H]2CCN=C(N2)N)CN	MHBQQDNEPQYCOS-CBQPQWBASA-N	MHBQQDNEPQYCOS	capreomycin IIB	C19H32N12O6
BGC0000830	uncultured bacterium	77133	OC1=CC2=C(NC=C2C2=CC(C(=O)N2)=C2C(=O)NC3=C2C=CC=C3)C=C1	XAPNKXIRQFHCHN-UHFFFAOYSA-N	XAPNKXIRQFHCHN	violacein	C20H13N3O3
BGC0000899	Streptomyces narbonensis	67333	CC1CC(C(C(O1)O)O)N(C)C	ZOYWWAGVGBSJDL-UHFFFAOYSA-N	ZOYWWAGVGBSJDL	desosamine	C8H17NO3
BGC0000218	Streptomyces peucetius	1950	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O	AOJJSUZBOXZQNB-TZSSRYMLSA-N	AOJJSUZBOXZQNB	doxorubicin	C27H29NO11
BGC0000097	Streptomyces sp. MP39-85	639006	CCC/C=C/C=C/CC1C/C=C/C=C(/C=C/C=C/C(C(/C=C(/C=C/C=C/C(=O)N1)\C)O)O)\C	QUZNSWBEDCHESP-KLYFDHOZSA-N	QUZNSWBEDCHESP	ML-449	C29H39NO3
BGC0000645	Halobacillus halophilus DSM 2266	866895	C[C@H](CCCCC(C)CCC[C@@H](C)CCCC(C)CCC=C(C)C)CCC[C@H](C)CCC[C@H](C)CCCC(C)(C)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O	MQXYWDPDLKUSFB-HOOXQTDMSA-N	MQXYWDPDLKUSFB	carotenoid	C46H90O6
BGC0001090	Bacillus velezensis FZB42	326423	CCC(C)CCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC(N)=O)C(=O)N2CCCC2C(=O)NC(CCC(O)=O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1	DFIMCVVZHWXEGI-UHFFFAOYSA-N	DFIMCVVZHWXEGI	bacillomycin D	C49H76N10O15
BGC0000605	Streptomyces sp. ATCC 55365	1073998	CC1CC(O)N2C1C1=NC(=CS1)C1=NC(=CS1)C1=NC(=CC=C1C1=NC(=C(C)O1)C(=O)NC(CC(N)=O)C1=NC(=CS1)C(=O)NC(CC1=CC=CC=C1)C1=NC(CS1)C(=O)NC(CC1=CC=C(O)C=C1)C2=O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(O)=O	AABZZWPMCAZHFC-UHFFFAOYSA-N	AABZZWPMCAZHFC	GE37468	C59H52N14O12S5
BGC0001587	Streptomyces avermitilis MA-4680 = NBRC 14893	227882	N=C(N)NCC(O)CC(C(O)=O)NCCNC(CC(O)=O)C(O)=O	UULSZYUKAFTXQP-UHFFFAOYSA-N	UULSZYUKAFTXQP	ethylenediaminesuccinic acid hydroxyarginine (EDHA)	C12H23N5O7
BGC0001331	Salinispora arenicola CNR107	1169167	O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCC(C)C)[C@@H]1C)=O)=O)=C	YHMLVTRWZBFDAT-KLSYSPJQSA-N	YHMLVTRWZBFDAT	BE-43547A1	C30H49N3O7
BGC0001331	Salinispora arenicola CNR107	1169167	O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCCCC)[C@@H]1C)=O)=O)=C	JRGSONPJAHDIGK-WBPJKTCNSA-N	JRGSONPJAHDIGK	BE-43547A2	C30H49N3O7
BGC0001331	Salinispora arenicola CNR107	1169167	O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCC(C)CC)[C@@H]1C)=O)=O)=C	NAQRKUYGIYSJOC-FPCCGVNISA-N	NAQRKUYGIYSJOC	BE-43547B1	C31H51N3O7
BGC0001331	Salinispora arenicola CNR107	1169167	O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCCC(C)C)[C@@H]1C)=O)=O)=C	HQFFZMGHAJTRBU-SPRVDHHQSA-N	HQFFZMGHAJTRBU	BE-43547B2	C31H51N3O7
BGC0001331	Salinispora arenicola CNR107	1169167	O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCCCCC)[C@@H]1C)=O)=O)=C	IDDKYWGBXFPXSV-JLVGNTQSSA-N	IDDKYWGBXFPXSV	BE-43547B3	C31H51N3O7
BGC0001331	Salinispora arenicola CNR107	1169167	O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCCCCCC)[C@@H]1C)=O)=O)=C	VJBZHTGSHPYIDE-UFPUCTHCSA-N	VJBZHTGSHPYIDE	BE-43547C1	C32H53N3O7
BGC0001331	Salinispora arenicola CNR107	1169167	O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCCCC(C)C)[C@@H]1C)=O)=O)=C	KVYJAWXEQAHJFZ-QPODHFTFSA-N	KVYJAWXEQAHJFZ	BE-43547C2	C32H53N3O7
BGC0000747	Streptococcus agalactiae	1311	CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)NC(=O)C)OC[C@@H]4[C@H]([C@@H]([C@H]([C@H](O4)O[C@H]5[C@H](O[C@H]([C@@H]([C@H]5O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O[C@@H]7[C@H](O[C@H]([C@@H]([C@H]7O)O)O)CO)CO)O)O)O)CO)CO)O)O	NOVHANKYCIGDMV-KSYJWRBWSA-N	NOVHANKYCIGDMV	capsular polysaccharide	C49H82N2O39
BGC0001060	Micromonospora chersina	47854	COC1=C([C@H](C)[C@@]23O[C@@]22[C@@H]1C#C\C=C/C#C[C@@H]3NC1=C2C=C(O)C2=C1C(=O)C1=C(C(O)=CC=C1O)C2=O)C(O)=O	AFMYMMXSQGUCBK-AKMKHHNQSA-N	AFMYMMXSQGUCBK	dynemicin A	C30H19NO9
BGC0000966	Actinoalloteichus sp. WH1-2216-6	1074250	COC1=CC(\C=N\O)=NC(=C1)C1=NC=CC=C1	JCTRJRHLGOKMCF-RIYZIHGNSA-N	JCTRJRHLGOKMCF	caerulomycin A	C12H11N3O2
BGC0000346	Goodfellowiella coeruleoviolacea	334858	CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)[C@]1(CO1)C)NC(=O)[C@H]([C@@H](C)CC)N(C)C(=O)C	DOGIDQKFVLKMLQ-JTHVHQAWSA-N	DOGIDQKFVLKMLQ	epoxomicin	C28H50N4O7
BGC0001442	Streptomyces sp. strain ATCC 14903	1931	[H][C@@](CCCCC)(CC(=O)NO)C(=O)N[C@@]([H])(C(C)C)C(=O)N1CCC[C@H]1CO	XJLATMLVMSFZBN-VYDXJSESSA-N	XJLATMLVMSFZBN	actinonin	C19H35N3O5
BGC0000777	Escherichia coli	562	CCCCCCCCCCCCCCCC1[C@H](OC([C@H]([C@@H]1OC(=O)CC(CCCCCCCCCCC)O)O)CO[C@H]2[C@H](C([C@@H](C(O2)CO[C@@]3(CC([C@H](C(O3)C(CO)O)O[C@H]4[C@@H](C([C@@H](C(O4)C(CO)O)OP(=O)(O)OP(=O)(O)OCCN)O[C@@H]5[C@@H](C([C@@H](C(O5)C(CO[C@@H]6[C@@H](C([C@](CO6)(C(CO)O)O)O)O)O)OP(=O)(O)O)O[C@@H]7C(C([C@@H](C(O7)CO[C@@H]8C(C([C@H](C(O8)CO)O)O)O)O)O[C@@H]9C(C([C@H](C(O9)CO)O)O)O[C@@H]1C(C([C@@H](C(O1)CO)O[C@@H]1C(C([C@H](C(O1)CO)O)OC1[C@@H](C(C([C@@H](O1)C)O[C@@H]1C(C([C@@H](C(O1)CO)O)O[C@@H]1C(C[C@H](C(O1)C)O)O)O[C@@H]1C(C([C@H](C(O1)CO)O)O)O)O)O)O)O)O[C@@H]1[C@H](C([C@@H](C(O1)CO)O)O)NC(=O)C)O)O)O)O[C@@]1(CC([C@H](C(O1)C(CO)O)O)O[C@@]1(CC([C@H](C(O1)C(CO)O)O)O)C(=O)O)C(=O)O)C(=O)O)OP(=O)(O)O)OC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)CP(=O)(O)O	YPXVSQSYDIMPDZ-AUUHBOKRSA-N	YPXVSQSYDIMPDZ	lipopolysaccharide	C205H366N3O117P5
BGC0000501	Catenulispora acidiphila DSM 44928	479433	CC[C@H](C)[C@@H]1NC(=O)CNC(=O)[C@H](C[C@@]2(CSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC2=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(C)C)C(O)=O)NC1=O)NC(=O)[C@H](CC1=CN=CN1)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1CSC[C@@]2(C[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@H](CC3=CN=CN3)NC(=O)CN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N2)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N1	AXDPBAOMGSGZMT-PMTSSQHDSA-N	AXDPBAOMGSGZMT	catenulipeptin	C99H152N32O34S2
BGC0000070	Penicillium aethiopicum	36650	COC1=CC(OC)=C(Cl)C2=C1C(=O)C1(O2)[C@H](C)CC(=O)C=C1OC	DDUHZTYCFQRHIY-OEWHWVHBSA-N	DDUHZTYCFQRHIY	griseofulvin	C17H17ClO6
BGC0000070	Penicillium aethiopicum	36650	COC1=CC(OC)=C2C(OC3(C(C)CC(=O)C=C3OC)C2=O)=C1	QPCYNIYZPDJCMB-UHFFFAOYSA-N	QPCYNIYZPDJCMB	epidechlorogriseofulvin	C17H18O6
BGC0000070	Penicillium aethiopicum	36650	CC1=CC(=CC2=C1C(=O)C3=C(C=C(C=C3O2)O)O)O	AQZHBCDRWFMXIN-UHFFFAOYSA-N	AQZHBCDRWFMXIN	norlichexanthone	C14H10O5
BGC0000070	Penicillium aethiopicum	36650	CC1=CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC	ISLYVROQSJYFAZ-KRWDZBQOSA-N	ISLYVROQSJYFAZ	dehydrogriseofulvin	C17H15ClO6
BGC0000070	Penicillium aethiopicum	36650	C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3O)OC)Cl)OC	KTICLSBYPHKDMM-QZTNRIJFSA-N	KTICLSBYPHKDMM	4-desmethylgriseofulvin	C16H15ClO6
BGC0000070	Penicillium aethiopicum	36650	CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C(C=C3O)OC)C)O	DZTPHWBIDKFBTR-UHFFFAOYSA-N	DZTPHWBIDKFBTR	griseoxanthone B	C16H14O5
BGC0001293	Streptomyces sp. NCIB 11649	1756463	[H][C@]12[C@@H]3O[C@@H]3CCN1[C@@H](\C=C(/C)\C=C\C1CC1)[C@H](O)[C@@]2(C)O	WGALLPIJABPILU-MUUXAGPVSA-N	WGALLPIJABPILU	cyclizidine	C17H25NO3
BGC0001717	Penicillium simplicissimum	69488	CO[C@@H]1[C@@]2(O)N(C(=O)\C3=C\C4=C(NC5=CC=CC=C45)C(C)(C)\C=C/N3C2=O)[C@]23[C@H](C)C(C)(C)N2C2=C(C=CC=C2)[C@]13O	PNJDFZNVNWQTFD-KTJJPEJQSA-N	PNJDFZNVNWQTFD	okaramine B	C33H34N4O5
BGC0000974	Chondromyces crocatus	52	COC(\C=C\C1=CC=CC=C1)C(C)C(OC)C(C)\C=C\C(\C)=C\C(=O)N\C=C/C\C=C/C(=O)NCC(=O)OC	XHTUDGVBJDVOEZ-WKRSYQPHSA-N	XHTUDGVBJDVOEZ	crocacin	C31H42N2O6
BGC0001280	Phoma betae	137527	CCC(C)C1C(C2C(CC(CC2C(=O)C1(C)O)(C)O)C)(C)C(=O)/C=C\O	YRYPVWAJOMXOHH-HJWRWDBZSA-N	YRYPVWAJOMXOHH	betaenone C	C21H34O5
BGC0001280	Phoma betae	137527	CCC(C)C1C2(C3C(CC(CC3C(C1(C)O)(/C(=C/O)/C2=O)O)(C)O)C)C	FHJXKTOXQHRDTL-GXDHUFHOSA-N	FHJXKTOXQHRDTL	betaenone A	C21H34O5
BGC0000955	Myxococcus xanthus	34	COC1=CC(=O)N(C1)C(=O)C2CSC(=N2)C(CO)NC(=O)C3=CSC(=CN=O)N3	NZGOIHZOTAJJCD-UHFFFAOYSA-N	NZGOIHZOTAJJCD	althiomycin	C16H17N5O6S2
BGC0000819	Penicillium fellutanum	70095	CN1C(=O)[C@]23C[C@H]4C(C)(C)[C@@]5(C[C@]14CN2CC[C@@]3(C)O)C(=O)NC1=C2OC=CC(C)(C)OC2=CC=C51	UVZZDDLIOJPDKX-ITKQZBBDSA-N	UVZZDDLIOJPDKX	paraherquamide	C28H35N3O5
